Run Title,Alternative,NPV,IRR
T2Run154 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run155 Project Analysis,Upgrade,60414236.0,152.8699951171875
T2Run155 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run156 Project Analysis,Upgrade,58523228.0,148.7899932861328
T2Run156 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run157 Project Analysis,Upgrade,61610872.0,155.49000549316406
T2Run157 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run158 Project Analysis,Upgrade,59725308.0,151.61000061035156
T2Run158 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run159 Project Analysis,Upgrade,60850652.0,154.27999877929688
T2Run159 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run160 Project Analysis,Upgrade,67295680.0,168.22000122070312
T2Run160 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run161 Project Analysis,Upgrade,74170320.0,185.24000549316406
T2Run161 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run162 Project Analysis,Upgrade,305129088.0,745.6199951171875
T2Run162 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run163 Project Analysis,Upgrade,295970944.0,723.8499755859375
T2Run163 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run164 Project Analysis,Upgrade,310876384.0,759.280029296875
T2Run164 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run166 Project Analysis,Upgrade,306643808.0,749.3699951171875
T2Run166 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run168 Project Analysis,Upgrade,368339008.0,896.0700073242188
T2Run168 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run169 Project Analysis,Upgrade,22067808.0,63.25
T2Run169 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run170 Project Analysis,Upgrade,21312916.0,61.720001220703125
T2Run170 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run171 Project Analysis,Upgrade,22548498.0,64.2300033569336
T2Run171 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run172 Project Analysis,Upgrade,21796000.0,62.7599983215332
